Hour,Access_Control,Alignment,Contributing_Factor,Lighting,Locality,Collision,Road_Type,Severity,Weather,Roadway,Damage,Dr_Age,Dr_Condition,Dr_Gender,Reason,Traffic_Control,Traffic_Condition,Violation,Posted_Speed
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,One-Way Road,No Injury,Clear,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Curve-Level,Condition Of Driver,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,25-34,Impaired,Male,Driver Condition,Other,No Controls,Driver Condition,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Right ,75-Inf,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,One-Way Road,Complaint,Clear,Street/Lane/Road,Front ,25-34,Fatigued/Illness,Female,Driver Condition,Other,No Controls,Driver Condition,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Rear ,55-64,Normal,Male,Normal Movement,Signal ,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Highway,Total,45-54,Normal,Male,Normal Movement,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,None,15-24,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Complaint,Clear,Street/Lane/Road,Front Left,75-Inf,Fatigued/Illness,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Avenue,None,15-24,Normal,Female,Driver Violation,Other,Controls Functioning,Other,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - No Street Lights,Other,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,65-74,Impaired,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,61-70 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Severe,Clear,Street/Lane/Road,Front ,25-34,Impaired,Male,Driver Violation,Other,Controls Functioning,Driver Condition,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Other,Street/Lane/Road,Rear ,75-Inf,Distracted,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,75-Inf,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,15-24,Normal,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,15-24,Unknown,Male,Other,Other,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,Other,No Controls,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Head-On,One-Way Road,Moderate,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Residential ,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,55-64,Distracted,Female,Driver Violation,Yellow Dashed Line,Controls Functioning,Other,21-30 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Drive,Front ,25-34,Normal,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Total,15-24,Normal,Male,Normal Movement,Yellow No Passing Line,Controls Functioning,No Violations,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Residential ,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Highway,Front Left,15-24,Unknown,Male,Normal Movement,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Curve-Level,Violations,Daylight,Residential ,Head-On,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Front ,45-54,Distracted,Male,Normal Movement,Yellow No Passing Line,No Controls,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,Complaint,Clear,Avenue,Front ,45-54,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,55-64,Impaired,Female,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Rain/Fog/Sleet/Snow,Boulevard,Front ,45-54,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Residential ,Other,One-Way Road,Moderate,Clear,Street/Lane/Road,Unknown,25-34,Distracted,Male,Driver Violation,Other,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Right Angle,One-Way Road,Moderate,Clear,Street/Lane/Road,Front ,15-24,Distracted,Female,Driver Violation,Other,No Controls,Other,21-30 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Cloudy,Avenue,Front ,45-54,Normal,Male,Other,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,On Grade,Condition Of Driver,Dark - Street Light At Intersection Only,Business,Other,One-Way Road,Complaint,Clear,Street/Lane/Road,Front Left,65-74,Unknown,Male,Driver Condition,Yellow No Passing Line,Controls Functioning,Driver Condition,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Cloudy,Avenue,Front ,25-34,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Rear ,65-74,Distracted,Female,Other,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,15-24,Normal,Male,Normal Movement,Yellow Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,25-34,Normal,Male,Normal Movement,Yellow Dashed Line,Controls Functioning,Driver Error,51-60 mph
Peak,Partial Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Other,One-Way Road,No Injury,Rain/Fog/Sleet/Snow,Avenue,Front ,65-74,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,Two-Way Road With A Physical Separation,No Injury,Clear,Avenue,Rear ,15-24,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,31-40 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Other,Two-Way Road With No Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Street/Lane/Road,Front ,15-24,Other,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Dark - No Street Lights,Business,Head-On,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,35-44,Normal,Male,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Right ,25-34,Distracted,Male,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,One-Way Road,No Injury,Clear,Avenue,Front ,15-24,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Street/Lane/Road,Front ,75-Inf,Fatigued/Illness,Male,Driver Condition,Yellow Dashed Line,Controls Functioning,No Violations,41-50 mph
Peak,No Control,Straight-Level,Movement Prior To Crash,Daylight,Residential ,Rear End,Two-Way Road With No Physical Separation,Complaint,Clear,Avenue,Front ,35-44,Distracted,Female,Driver Violation,Yellow Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With A Physical Separation,No Injury,Clear,Street/Lane/Road,Other,75-Inf,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,51-60 mph
Peak,Partial Control,Curve-Level,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Street/Lane/Road,Front ,45-54,Distracted,Male,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,21-30 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Distracted,Female,Driver Violation,Other,No Controls,Driver Error,20 mph or less
Peak,No Control,Straight-Level,Violations,Daylight,Business,Sideswipe,One-Way Road,Complaint,Clear,Street/Lane/Road,Rear ,45-54,Distracted,Female,Driver Violation,Sign,Controls Functioning,Driver Error,21-30 mph
Peak,Full Control,Hillcrest,Violations,Daylight,Business,Head-On,Two-Way Road With A Physical Barrier,Fatal,Clear,Highway,Front ,55-64,Unknown,Female,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Left Turn,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,35-44,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Boulevard,None,25-34,Unknown,Male,Driver Violation,Other,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Right Turn,One-Way Road,No Injury,Clear,Drive,Front ,65-74,Distracted,Male,Normal Movement,Other,No Controls,Other,41-50 mph
Peak,No Control,Straight-Level,Other,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,No Injury,Clear,Boulevard,Rear ,35-44,Normal,Male,Driver Violation,Other,No Controls,Other,31-40 mph
Off-peak,Partial Control,Straight-Level,Violations,Dark - Street Light At Intersection Only,Business,Other,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Right ,15-24,Distracted,Male,Other,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,Partial Control,On Grade,Violations,Dark - Continuous Street Light,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With No Physical Separation,No Injury,Clear,Street/Lane/Road,Front ,15-24,Distracted,Male,Other,Signal ,Controls Not Functioning,Driver Error,21-30 mph
Off-peak,Partial Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Rear ,45-54,Normal,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - Street Light At Intersection Only,Business,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,15-24,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Other,41-50 mph
Off-peak,Full Control,Straight-Level,Violations,Dark - No Street Lights,Other,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Cloudy,Other,Front ,45-54,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Other,61-70 mph
Peak,No Control,Straight-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With A Physical Separation,No Injury,Clear,Other,Front ,35-44,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Left Turn,Two-Way Road With No Physical Separation,Severe,Clear,Other,Front ,35-44,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,51-60 mph
Off-peak,Full Control,Straight-Level,Violations,Daylight,Other,Head-On,Two-Way Road With A Physical Separation,Moderate,Clear,Other,Front Left,55-64,Fatigued/Illness,Male,Driver Violation,White Dashed Line,Controls Functioning,Other,61-70 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With No Physical Separation,Complaint,Clear,Other,Front ,55-64,Impaired,Male,Driver Condition,Other,Controls Functioning,Other,31-40 mph
Off-peak,No Control,Straight-Level,Condition Of Driver,Dark - No Street Lights,Residential ,Non-Collision With Motor Vehicle,Two-Way Road With A Physical Separation,Complaint,Rain/Fog/Sleet/Snow,Other,Front Left,45-54,Impaired,Male,Driver Condition,Sign,Controls Functioning,Driver Condition,51-60 mph
Peak,No Control,Straight-Level,Violations,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,25-34,Distracted,Female,Driver Violation,White Dashed Line,Controls Functioning,Driver Error,41-50 mph
Peak,No Control,Straight-Level,Condition Of Driver,Daylight,Business,Sideswipe,Two-Way Road With No Physical Separation,No Injury,Clear,Other,Front ,45-54,Impaired,Male,Driver Condition,White Dashed Line,Controls Functioning,Driver Condition,41-50 mph
Off-peak,No Control,Straight-Level,Violations,Daylight,Business,Rear End,Two-Way Road With No Physical Separation,No Injury,Cloudy,Other,Front ,45-54,Distracted,Male,Driver Violation,Signal ,Controls Functioning,Driver Error,41-50 mph
Off-peak,Full Control,On Grade,Violations,Daylight,Other,Other,One-Way Road,Complaint,Clear,Other,Rear ,35-44,Distracted,Male,Driver Violation,Other,Controls Functioning,Other,41-50 mph
Off-peak,No Control,Curve-Level,Violations,Daylight,Business,Right Angle,Two-Way Road With No Physical Separation,Moderate,Clear,Other,Right ,15-24,Distracted,Male,Driver Violation,Yellow No Passing Line,Controls Functioning,Other,31-40 mph
Off-peak,No Control,On Grade,Condition Of Driver,Daylight,Business,Head-On,Two-Way Road With A Physical Separation,Fatal,Clear,Other,Front ,75-Inf,Distracted,Female,Driver Violation,Other,Controls Functioning,Driver Error,61-70 mph
Peak,Partial Control,Straight-Level,Condition Of Driver,Dark - Continuous Street Light,Business,Sideswipe,Two-Way Road With A Physical Separation,Complaint,Clear,Other,Front ,15-24,Impaired,Female,Driver Condition,White Dashed Line,Controls Functioning,Driver Error,31-40 mph
